No,doi-1,doi-2,cc_frequency,pub1_msa,pub2_msa,pub1_title,pub2_title,pub1_authors,pub2_authors,dc
182,10.1007/BF00386001,10.1016/0003-2697(76)90527-3,594,"Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Agricultural and Biological Sciences, Agricultural and Biological Sciences, Biochemistry, Genetics and Molecular Biology, Agricultural and Biological Sciences, Agricultural and Biological Sciences, Biochemistry, Genetics and Molecular Biology","Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology",The presence of glutathione and glutathione reductase in chloroplasts: A proposed role in ascorbic acid metabolism,A rapid and sensitive method for the quantitation of microgram quantities of protein utilizing the principle of protein-dye binding,"Foyer C.H., Halliwell B.","Bradford M.M., Bradford M.M.",0
183,10.1007/BF00386001,10.1093/jxb/32.1.93,157,"Agricultural and Biological Sciences, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Agricultural and Biological Sciences, Agricultural and Biological Sciences, Agricultural and Biological Sciences, Agricultural and Biological Sciences, Biochemistry, Genetics and Molecular Biology, Agricultural and Biological Sciences","Environmental Science, Biochemistry, Genetics and Molecular Biology, Mathematics, Environmental Science, Agricultural and Biological Sciences, Agricultural and Biological Sciences, Agricultural and Biological Sciences, Agricultural and Biological Sciences, Biochemistry, Genetics and Molecular Biology, Decision Sciences, Decision Sciences, Mathematics",The presence of glutathione and glutathione reductase in chloroplasts: A proposed role in ascorbic acid metabolism,"Leaf senescence: Correlated with increased levels of membrane permeability and lipid peroxidation, and decreased levels of superoxide dismutase and catalase","Foyer C.H., Halliwell B., Foyer C.H., Halliwell B., Foyer C.H., Halliwell B.","Dhindsa R.S., Dhindsa R.S., Plumb-dhindsa P., Plumb-dhindsa P., Thorpe T.A., Thorpe T.A.",0
184,10.1016/0048-7333(84)90018-0,10.1177/014920639101700108,166,"Decision Sciences, Business, Management and Accounting, Decision Sciences, Business, Management and Accounting, Business, Management and Accounting, Business, Management and Accounting","Economics, Econometrics and Finance, Business, Management and Accounting, Business, Management and Accounting, Business, Management and Accounting, Economics, Econometrics and Finance, Economics, Econometrics and Finance",Sectoral patterns of technical change: Towards a taxonomy and a theory,Firm Resources and Sustained Competitive Advantage,Pavitt K.,Barney J.,0
185,10.1063/1.445869,10.1063/1.328693,1144,"Chemistry, Physics and Astronomy","Physics and Astronomy, Physics and Astronomy",Comparison of simple potential functions for simulating liquid water,Polymorphic transitions in single crystals: A new molecular dynamics method,"Madura J.D., Impey R.W., Chandrasekhar J., Jorgensen W.L., Klein M.L., Madura J.D., Impey R.W., Chandrasekhar J., Jorgensen W.L., Klein M.L.","Parrinello M., Parrinello M., Parrinello M., Parrinello M., Parrinello M., Rahman A., Rahman A., Rahman A., Rahman A., Rahman A.",0
186,10.1063/1.445869,10.1002/bip.360221211,653,"Chemistry, Chemistry, Chemistry, Chemistry, Physics and Astronomy, Physics and Astronomy, Physics and Astronomy, Physics and Astronomy","Chemistry, Biochemistry, Genetics and Molecular Biology, Materials Science, Biochemistry, Genetics and Molecular Biology, Materials Science, Chemistry, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology",Comparison of simple potential functions for simulating liquid water,Dictionary of protein secondary structure: Pattern recognition of hydrogen‐bonded and geometrical features,"Madura J.D., Impey R.W., Chandrasekhar J., Jorgensen W.L., Klein M.L., Madura J.D., Impey R.W., Chandrasekhar J., Jorgensen W.L., Klein M.L.","Kabsch W., Kabsch W., Kabsch W., Kabsch W., Kabsch W., Sander C., Sander C., Sander C., Sander C., Sander C.",0
187,10.1063/1.445869,10.1016/0021-9991(76)90078-4,322,"Chemistry, Physics and Astronomy, Physics and Astronomy, Chemistry","Physics and Astronomy, Physics and Astronomy, Computer Science, Computer Science",Comparison of simple potential functions for simulating liquid water,Efficient estimation of free energy differences from Monte Carlo data,"Madura J.D., Impey R.W., Chandrasekhar J., Jorgensen W.L., Klein M.L.","Bennett C.H., Bennett C.H., Bennett C.H., Bennett C.H., Bennett C.H.",0
188,10.1063/1.445869,10.1063/1.439486,402,"Chemistry, Chemistry, Physics and Astronomy, Physics and Astronomy","Chemistry, Physics and Astronomy, Chemistry, Physics and Astronomy",Comparison of simple potential functions for simulating liquid water,Molecular dynamics simulations at constant pressure and/or temperature,"Madura J.D., Impey R.W., Chandrasekhar J., Jorgensen W.L., Klein M.L.","Andersen H.C., Andersen H.C., Andersen H.C., Andersen H.C., Andersen H.C.",0
189,10.1063/1.445869,10.1016/0021-9991(83)90014-1,469,"Chemistry, Chemistry, Physics and Astronomy, Physics and Astronomy","Computer Science, Physics and Astronomy, Computer Science, Physics and Astronomy",Comparison of simple potential functions for simulating liquid water,"Rattle: A """"velocity"""" version of the shake algorithm for molecular dynamics calculations","Madura J.D., Impey R.W., Chandrasekhar J., Jorgensen W.L., Klein M.L.","Andersen H.C., Andersen H.C., Andersen H.C., Andersen H.C., Andersen H.C.",0
190,10.1063/1.445869,10.1080/00268978300102851,384,"Physics and Astronomy, Physics and Astronomy, Physics and Astronomy, Physics and Astronomy, Chemistry, Chemistry, Chemistry, Chemistry","Biochemistry, Genetics and Molecular Biology, Physics and Astronomy, Chemistry, Biochemistry, Genetics and Molecular Biology, Physics and Astronomy, Chemistry, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology",Comparison of simple potential functions for simulating liquid water,Constant pressure molecular dynamics for molecular systems,"Madura J.D., Impey R.W., Chandrasekhar J., Jorgensen W.L., Klein M.L., Madura J.D., Impey R.W., Chandrasekhar J., Jorgensen W.L., Klein M.L.","Klein M.L., Klein M.L., Klein M.L., Klein M.L., Klein M.L., Nose S., Nose S., Nose S., Nose S., Nose S.",0
191,10.1063/1.445869,10.1080/00268978400101201,713,"Chemistry, Chemistry, Chemistry, Chemistry, Physics and Astronomy, Physics and Astronomy, Physics and Astronomy, Physics and Astronomy","Physics and Astronomy, Chemistry, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Chemistry, Physics and Astronomy, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology",Comparison of simple potential functions for simulating liquid water,A molecular dynamics method for simulations in the canonical ensemble,"Madura J.D., Impey R.W., Chandrasekhar J., Jorgensen W.L., Klein M.L.","Nose S., Nose S., Nose S., Nose S., Nose S.",0
192,10.1016/0370-2693(90)91293-K,10.1103/PhysRevLett.41.1581,145,Physics and Astronomy,Physics and Astronomy,Search for hadronic b→u decays,Observables for the analysis of event shapes in e+e- annihilation and other processes,"Oest T., Nilsson A.W., Kruger A., Harder G., Glaser R., Albrecht H., Darden C.W., Childers R., Zaitsev Yu., Tichomirov I., Tchistilin V., Soloshenko V., Shevchenko V., Semenov S., Semenov A., Rostovtsev A., Lubimov V., Gorelov I., Golutvin A., Fominykh B., Danilo M., Babaev A., Jonsson L., Cronstrom H.I., Kriznic E., Krizan P., Kernel G., Bostjancic B., Weseler S., Waldi R., Strahl K., Schubert K.R., Schael S., Ruf T., Yoon T.-S., Tzamariudaki K., Tsipolitis G., Swain J.D., Seidel S.C., Prentice J.D., Patel P.M., Parsons J.A., Orr R.S., McLean K.W., Macfarlene D.B., Kutschke R., Krieger P., Kapitza H., Frisken W.R., Edwards K.W., Charlesworth C.E.K., Spengler J., Khan S., Holzer B., Hofmann W., Holscher A., Geyer C., Gabriel J.C., Ball S., Werner S., Stiewe J., Funk W., Wegener H., Volland U., Reim K., Paulini M., Wegener D., Walther A., Spaan B., Schweda G., Scheck H., Mankel R., Lindner A., Lange A., Kolanoski H., Herrera G., Hast C., Drescher A., Appuhn R.D., Wurth R., Sefkow F., Schulz H.D., Schroder H., Schmidt-Parzefall W., Schafer M., Reidenbach M., Nippe A., Oest T., Nilsson A.W., Kruger A., Harder G., Glaser R., Albrecht H., Darden C.W., Childers R., Zaitsev Yu., Tichomirov I., Tchistilin V., Soloshenko V., Shevchenko V., Semenov S., Semenov A., Rostovtsev A., Lubimov V., Gorelov I., Golutvin A., Fominykh B., Danilo M., Babaev A., Jonsson L., Cronstrom H.I., Kriznic E., Krizan P., Kernel G., Bostjancic B., Weseler S., Waldi R., Strahl K., Schubert K.R., Schael S., Ruf T., Yoon T.-S., Tzamariudaki K., Tsipolitis G., Swain J.D., Seidel S.C., Prentice J.D., Patel P.M., Parsons J.A., Orr R.S., McLean K.W., Macfarlene D.B., Kutschke R., Krieger P., Kapitza H., Frisken W.R., Edwards K.W., Charlesworth C.E.K., Spengler J., Khan S., Holzer B., Hofmann W., Holscher A., Geyer C., Gabriel J.C., Ball S., Werner S., Stiewe J., Funk W., Wegener H., Volland U., Reim K., Paulini M., Wegener D., Walther A., Spaan B., Schweda G., Scheck H., Mankel R., Lindner A., Lange A., Kolanoski H., Herrera G., Hast C., Drescher A., Appuhn R.D., Wurth R., Sefkow F., Schulz H.D., Schroder H., Schmidt-Parzefall W., Schafer M., Reidenbach M., Nippe A.","Wolfram S., Wolfram S., Wolfram S., Wolfram S., Wolfram S., Wolfram S., Wolfram S., Wolfram S., Wolfram S., Wolfram S., Wolfram S., Wolfram S., Wolfram S., Wolfram S., Wolfram S., Wolfram S., Wolfram S., Wolfram S., Wolfram S., Wolfram S., Wolfram S., Wolfram S., Wolfram S., Wolfram S., Wolfram S., Wolfram S., Wolfram S., Wolfram S., Wolfram S., Wolfram S., Wolfram S., Wolfram S., Wolfram S., Wolfram S., Wolfram S., Wolfram S., Wolfram S., Wolfram S., Wolfram S., Wolfram S., Wolfram S., Wolfram S., Wolfram S., Wolfram S., Wolfram S., Wolfram S., Wolfram S., Wolfram S., Wolfram S., Wolfram S., Wolfram S., Wolfram S., Wolfram S., Wolfram S., Wolfram S., Wolfram S., Wolfram S., Wolfram S., Wolfram S., Wolfram S., Wolfram S., Wolfram S., Wolfram S., Wolfram S., Wolfram S., Wolfram S., Wolfram S., Wolfram S., Wolfram S., Wolfram S., Wolfram S., Wolfram S., Wolfram S., Wolfram S., Wolfram S., Wolfram S., Wolfram S., Wolfram S., Wolfram S., Wolfram S., Wolfram S., Wolfram S., Wolfram S., Wolfram S., Wolfram S., Wolfram S., Wolfram S., Fox G.C., Fox G.C., Fox G.C., Fox G.C., Fox G.C., Fox G.C., Fox G.C., Fox G.C., Fox G.C., Fox G.C., Fox G.C., Fox G.C., Fox G.C., Fox G.C., Fox G.C., Fox G.C., Fox G.C., Fox G.C., Fox G.C., Fox G.C., Fox G.C., Fox G.C., Fox G.C., Fox G.C., Fox G.C., Fox G.C., Fox G.C., Fox G.C., Fox G.C., Fox G.C., Fox G.C., Fox G.C., Fox G.C., Fox G.C., Fox G.C., Fox G.C., Fox G.C., Fox G.C., Fox G.C., Fox G.C., Fox G.C., Fox G.C., Fox G.C., Fox G.C., Fox G.C., Fox G.C., Fox G.C., Fox G.C., Fox G.C., Fox G.C., Fox G.C., Fox G.C., Fox G.C., Fox G.C., Fox G.C., Fox G.C., Fox G.C., Fox G.C., Fox G.C., Fox G.C., Fox G.C., Fox G.C., Fox G.C., Fox G.C., Fox G.C., Fox G.C., Fox G.C., Fox G.C., Fox G.C., Fox G.C., Fox G.C., Fox G.C., Fox G.C., Fox G.C., Fox G.C., Fox G.C., Fox G.C., Fox G.C., Fox G.C., Fox G.C., Fox G.C., Fox G.C., Fox G.C., Fox G.C., Fox G.C., Fox G.C., Fox G.C.",0
193,"",10.1063/1.448800,174,"Chemistry, Chemistry","Chemistry, Physics and Astronomy",A formulation of the reaction coordinate,Ab initio effective core potentials for molecular calculations. Potentials for main group elements Na to Bi,"Fukui K., Fukui K.","Hay P.J., Wadt W.R.",0
194,"",10.1021/cr00088a005,308,Chemistry,Chemistry,A formulation of the reaction coordinate,"Intermolecular Interactions from a Natural Bond Orbital, Donor—Acceptor Viewpoint","Fukui K., Fukui K., Fukui K.","Curtiss L.A., Reed A.E., Weinhold F.",0
195,"",10.1063/1.448799,171,"Chemistry, Chemistry","Chemistry, Physics and Astronomy",A formulation of the reaction coordinate,Ab initio effective core potentials for molecular calculations. Potentials for the transition metal atoms Sc to Hg,"Fukui K., Fukui K.","Wadt W.R., Hay P.J.",0
196,"",10.1007/BF00533485,222,Chemistry,Health Professions,A formulation of the reaction coordinate,The influence of polarization functions on molecular orbital hydrogenation energies,"Fukui K., Fukui K.","Pople J.A., Hariharan P.C.",0
197,10.1016/0003-4916(89)90322-9,10.1088/0305-4470/14/12/019,314,"Physics and Astronomy, Physics and Astronomy, Physics and Astronomy","Physics and Astronomy, Physics and Astronomy, Mathematics",Optimal state-determination by mutually unbiased measurements,Geometrical description of quantal state determination,"Fields B.D., Wootters W.K.","Ivonovic I.D., Ivonovic I.D.",1
198,10.1016/0008-8846(76)90007-7,10.1016/0020-7683(89)90050-4,175,"Engineering, Engineering, Engineering, Engineering, Engineering, Engineering, Materials Science, Materials Science, Materials Science, Materials Science, Materials Science, Materials Science","Materials Science, Mathematics, Engineering, Engineering, Physics and Astronomy, Mathematics, Engineering, Engineering, Materials Science, Mathematics, Mathematics, Physics and Astronomy",Analysis of crack formation and crack growth in concrete by means of fracture mechanics and finite elements,A plastic-damage model for concrete,"Hillerborg A., Modeer M., Petersson P.-E., Hillerborg A., Modeer M., Petersson P.-E., Hillerborg A., Modeer M., Petersson P.-E., Hillerborg A., Modeer M., Petersson P.-E.","Onate E., Onate E., Onate E., Lubliner J., Lubliner J., Lubliner J., Oliver J., Oliver J., Oliver J., Oller S., Oller S., Oller S.",1
199,10.1073/pnas.76.10.5269,"",357,"General, General","Biochemistry, Genetics and Molecular Biology, General",Mathematical model for studying genetic variation in terms of restriction endonucleases,Analysis of gene diversity in subdivided populations,"Li W.H., Nei M.","Nei M., Nei M.",0
200,10.1073/pnas.76.10.5269,10.1016/0040-5809(75)90020-9,289,"General, General","Agricultural and Biological Sciences, Agricultural and Biological Sciences",Mathematical model for studying genetic variation in terms of restriction endonucleases,On the number of segregating sites in genetical models without recombination,"Li W.H., Nei M.","Watterson G.A., Watterson G.A.",0
201,10.1073/pnas.76.10.5269,"",310,General,"Biochemistry, Genetics and Molecular Biology",Mathematical model for studying genetic variation in terms of restriction endonucleases,Estimation of average heterozygosity and genetic distance from a small number of individuals,"Li W.H., Nei M.","Nei M., Nei M.",0
202,10.1073/pnas.76.10.5269,"",198,"General, General","Medicine, Biochemistry, Genetics and Molecular Biology",Mathematical model for studying genetic variation in terms of restriction endonucleases,Construction of a genetic linkage map in man using restriction fragment length polymorphisms,"Li W.H., Nei M., Li W.H., Nei M., Li W.H., Nei M., Li W.H., Nei M.","White R.L., White R.L., Botstein D., Botstein D., Skolnick M., Skolnick M., Davis R.W., Davis R.W.",0
203,"",10.1063/1.438955,710,"Physics and Astronomy, Physics and Astronomy","Physics and Astronomy, Chemistry",Gaussian basis set for molecular wavefunctions containing third-row atoms,Self-consistent molecular orbital methods. XX. A basis set for correlated wave functions,"Wachtees A.J.H., Wachtees A.J.H., Wachtees A.J.H., Wachtees A.J.H.","Krishnan R., Seeger R., Binkley J.S., Pople J.A.",0
204,10.1063/1.448800,10.1063/1.438980,379,"Chemistry, Physics and Astronomy, Chemistry, Physics and Astronomy","Physics and Astronomy, Physics and Astronomy, Chemistry, Chemistry",Ab initio effective core potentials for molecular calculations. Potentials for main group elements Na to Bi,"Contracted Gaussian basis sets for molecular calculations. I. Second row atoms, Z=11-18","Wadt W.R., Hay P.J., Wadt W.R., Hay P.J.","McLean A.D., McLean A.D., Chandler G.S., Chandler G.S.",0
205,10.1063/1.448800,10.1063/1.438955,601,"Physics and Astronomy, Chemistry, Chemistry, Physics and Astronomy","Chemistry, Chemistry, Physics and Astronomy, Physics and Astronomy",Ab initio effective core potentials for molecular calculations. Potentials for main group elements Na to Bi,Self-consistent molecular orbital methods. XX. A basis set for correlated wave functions,"Wadt W.R., Hay P.J., Wadt W.R., Hay P.J., Wadt W.R., Hay P.J., Wadt W.R., Hay P.J.","Krishnan R., Krishnan R., Binkley J.S., Binkley J.S., Seeger R., Seeger R., Pople J.A., Pople J.A.",0
206,10.1063/1.448800,10.1021/ja00544a007,253,"Chemistry, Chemistry, Chemistry, Physics and Astronomy, Physics and Astronomy, Physics and Astronomy, Physics and Astronomy, Chemistry","Biochemistry, Genetics and Molecular Biology, Chemical Engineering, Chemistry, Biochemistry, Genetics and Molecular Biology, Chemical Engineering, Chemical Engineering, Chemistry, Chemical Engineering",Ab initio effective core potentials for molecular calculations. Potentials for main group elements Na to Bi,Natural Hybrid Orbitals,"Wadt W.R., Hay P.J., Wadt W.R., Hay P.J.","Weinhold F., Weinhold F., Foster J.P., Foster J.P.",0
207,10.1063/1.448800,10.1021/ar00072a001,241,"Chemistry, Physics and Astronomy","Chemistry, Chemistry",Ab initio effective core potentials for molecular calculations. Potentials for main group elements Na to Bi,The Path of Chemical Reactions - The IRC Approach,"Wadt W.R., Hay P.J.","Fukui K., Fukui K.",0
208,10.1063/1.448800,10.1002/jcc.540040303,270,"Chemistry, Physics and Astronomy, Physics and Astronomy, Chemistry","Chemistry, Mathematics, Chemistry, Mathematics",Ab initio effective core potentials for molecular calculations. Potentials for main group elements Na to Bi,"Efficient diffuse function‐augmented basis sets for anion calculations. III. The 3‐21+G basis set for first‐row elements, Li–F","Wadt W.R., Hay P.J., Wadt W.R., Hay P.J., Wadt W.R., Hay P.J., Wadt W.R., Hay P.J.","Clark T., Clark T., Chandrasekhar J., Chandrasekhar J., Schleyer P.V.R., Schleyer P.V.R., Spitznagel G.W., Spitznagel G.W.",0
209,10.1063/1.448800,10.1016/0009-2614(80)80628-2,238,"Chemistry, Chemistry, Physics and Astronomy, Physics and Astronomy","Chemistry, Physics and Astronomy, Physics and Astronomy, Chemistry",Ab initio effective core potentials for molecular calculations. Potentials for main group elements Na to Bi,The isomers of silacyclopropane,"Wadt W.R., Hay P.J.","Gordon M.S., Gordon M.S.",0
210,10.1002/adma.19920040409,10.1080/02678299308031946,133,"Engineering, Engineering, Engineering, Engineering, Materials Science, Materials Science, Materials Science, Engineering, Engineering","Physics and Astronomy, Chemistry, Materials Science, Physics and Astronomy, Materials Science, Chemistry, Physics and Astronomy, Chemistry, Materials Science",A ferroelectric liquid crystal dimer: Synthesis and properties,"The synthesis and high optical birefringence of nematogens incorporating 2,6-disubstituted naphthalenes and terminal cyano-substituent","Marcos M., Ezcurra A., Serrano J.L., Sierra T., Omenat A., Marcos M., Ezcurra A., Serrano J.L., Sierra T., Omenat A.","Hird M., Hird M., Hird M., Hird M., Hird M., Toyne K.J., Toyne K.J., Toyne K.J., Toyne K.J., Toyne K.J.",0
211,10.1002/adma.19920040409,10.1080/02678299308027752,136,"Engineering, Materials Science, Materials Science, Engineering, Engineering, Materials Science, Engineering, Engineering, Engineering","Materials Science, Chemistry, Materials Science, Chemistry, Physics and Astronomy, Physics and Astronomy, Materials Science, Chemistry, Physics and Astronomy",A ferroelectric liquid crystal dimer: Synthesis and properties,Palladium-catalysed cross-coupling reactions in the synthesis of some high polarizability materials,"Marcos M., Ezcurra A., Serrano J.L., Sierra T., Omenat A., Marcos M., Ezcurra A., Serrano J.L., Sierra T., Omenat A., Marcos M., Ezcurra A., Serrano J.L., Sierra T., Omenat A.","Toyne K.J., Toyne K.J., Toyne K.J., Toyne K.J., Toyne K.J., Hird M., Hird M., Hird M., Hird M., Hird M., Gray G.W., Gray G.W., Gray G.W., Gray G.W., Gray G.W.",0
212,"","",219,"Biochemistry, Genetics and Molecular Biology, General","Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology",Analysis of gene diversity in subdivided populations,Population studies on southwestern Indian tribes. II. Local genetic differentiation in the Papago.,"Nei M., Nei M.","Workman P.L., Niswander J.D.",0
213,"","",232,"General, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, General","Biochemistry, Genetics and Molecular Biology, Medicine, Biochemistry, Genetics and Molecular Biology, Medicine",Analysis of gene diversity in subdivided populations,Construction of a genetic linkage map in man using restriction fragment length polymorphisms,"Nei M., Nei M., Nei M., Nei M.","White R.L., Botstein D., Skolnick M., Davis R.W.",0
214,10.1016/0370-2693(77)90407-5,10.1103/PhysRevD.23.165,151,"Physics and Astronomy, Physics and Astronomy","Physics and Astronomy, Physics and Astronomy",Nonconservation of total lepton number with scalar bosons,Neutrino masses and mixings in gauge models with spontaneous parity violation,"Konetschny W., Kummer W., Konetschny W., Kummer W.","Mohapatra R.N., Mohapatra R.N., Senjanovic G., Senjanovic G.",0
215,10.1073/pnas.76.4.1967,10.1007/BF01731581,212,"General, General, General, General, General, General, General, General","Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Agricultural and Biological Sciences, Biochemistry, Genetics and Molecular Biology, Medicine, Agricultural and Biological Sciences, Agricultural and Biological Sciences",Rapid evolution of animal mitochondrial DNA,A simple method for estimating evolutionary rates of base substitutions through comparative studies of nucleotide sequences,"Wilson A.C., Brown W.M., George Jr. M.","Kimura M., Kimura M., Kimura M.",0
216,10.1007/BF00384745,10.1007/BF00374895,198,"Earth and Planetary Sciences, Earth and Planetary Sciences, Earth and Planetary Sciences, Earth and Planetary Sciences, Earth and Planetary Sciences, Earth and Planetary Sciences, Earth and Planetary Sciences, Earth and Planetary Sciences","Environmental Science, Environmental Science, Earth and Planetary Sciences, Earth and Planetary Sciences, Earth and Planetary Sciences, Earth and Planetary Sciences, Earth and Planetary Sciences, Earth and Planetary Sciences","Geochemistry of eocene calc-alkaline volcanic rocks from the Kastamonu area, Northern Turkey",Nature and origin of A-type granites with particular reference to southeastern Australia,"Taylor S.R., Peccerillo A., Taylor S.R., Peccerillo A., Taylor S.R., Peccerillo A., Taylor S.R., Peccerillo A.","Chappell B.W., Chappell B.W., White A.J.R., White A.J.R., Beams S.D., Beams S.D., Collins W.J., Collins W.J.",0
217,10.1007/BF00384745,10.1016/0012-821X(83)90211-X,269,"Earth and Planetary Sciences, Earth and Planetary Sciences, Earth and Planetary Sciences, Earth and Planetary Sciences, Earth and Planetary Sciences, Earth and Planetary Sciences, Earth and Planetary Sciences, Earth and Planetary Sciences","Earth and Planetary Sciences, Earth and Planetary Sciences, Earth and Planetary Sciences, Earth and Planetary Sciences, Earth and Planetary Sciences, Earth and Planetary Sciences, Earth and Planetary Sciences, Earth and Planetary Sciences","Geochemistry of eocene calc-alkaline volcanic rocks from the Kastamonu area, Northern Turkey",Zircon saturation revisited: temperature and composition effects in a variety of crustal magma types,"Taylor S.R., Peccerillo A., Taylor S.R., Peccerillo A.","Harrison T.M., Harrison T.M., Watson E.B., Watson E.B.",0
218,10.1007/BF00384745,"",423,"Earth and Planetary Sciences, Earth and Planetary Sciences, Earth and Planetary Sciences, Earth and Planetary Sciences","Environmental Science, Earth and Planetary Sciences, Environmental Science, Earth and Planetary Sciences","Geochemistry of eocene calc-alkaline volcanic rocks from the Kastamonu area, Northern Turkey",Cosmochemistry of the rare earth elements: meteorite studies.,"Taylor S.R., Peccerillo A.","Boynton W.V., Boynton W.V.",0
219,10.1007/BF00384745,"",224,"Earth and Planetary Sciences, Earth and Planetary Sciences, Earth and Planetary Sciences, Earth and Planetary Sciences, Earth and Planetary Sciences, Earth and Planetary Sciences","Earth and Planetary Sciences, Earth and Planetary Sciences, Earth and Planetary Sciences, Earth and Planetary Sciences, Physics and Astronomy, Physics and Astronomy","Geochemistry of eocene calc-alkaline volcanic rocks from the Kastamonu area, Northern Turkey",Chemical geodynamics.,"Taylor S.R., Peccerillo A., Taylor S.R., Peccerillo A.","Hart S., Hart S., Zindler A., Zindler A.",0
220,10.1007/BF00384745,10.1007/BF00402202,512,"Earth and Planetary Sciences, Earth and Planetary Sciences, Earth and Planetary Sciences, Earth and Planetary Sciences","Earth and Planetary Sciences, Earth and Planetary Sciences, Earth and Planetary Sciences, Earth and Planetary Sciences","Geochemistry of eocene calc-alkaline volcanic rocks from the Kastamonu area, Northern Turkey","A-type granites: geochemical characteristics, discrimination and petrogenesis","Taylor S.R., Peccerillo A., Taylor S.R., Peccerillo A., Taylor S.R., Peccerillo A.","Chappell B.W., Chappell B.W., Currie K.L., Currie K.L., Whalen J.B., Whalen J.B.",0
221,10.1007/BF00384745,10.1016/0301-9268(91)90092-O,130,"Earth and Planetary Sciences, Earth and Planetary Sciences, Earth and Planetary Sciences, Earth and Planetary Sciences","Earth and Planetary Sciences, Earth and Planetary Sciences, Earth and Planetary Sciences, Earth and Planetary Sciences","Geochemistry of eocene calc-alkaline volcanic rocks from the Kastamonu area, Northern Turkey",Partial melting of amphibolite/eclogite and the origin of Archean trondhjemites and tonalites,"Taylor S.R., Peccerillo A., Taylor S.R., Peccerillo A., Taylor S.R., Peccerillo A.","Miller C.F., Miller C.F., Watson E.B., Watson E.B., Rapp R.P., Rapp R.P.",0
222,10.1007/BF00384745,10.1016/0009-2541(77)90057-2,214,"Earth and Planetary Sciences, Earth and Planetary Sciences, Earth and Planetary Sciences, Earth and Planetary Sciences","Earth and Planetary Sciences, Earth and Planetary Sciences, Earth and Planetary Sciences, Earth and Planetary Sciences","Geochemistry of eocene calc-alkaline volcanic rocks from the Kastamonu area, Northern Turkey",Geochemical discrimination of different magma series and their differentiation products using immobile elements,"Taylor S.R., Peccerillo A., Taylor S.R., Peccerillo A.","Winchester J.A., Winchester J.A., Floyd P.A., Floyd P.A.",0
223,10.1007/BF00384745,10.1016/0012-821X(77)90060-7,249,"Earth and Planetary Sciences, Earth and Planetary Sciences, Earth and Planetary Sciences, Earth and Planetary Sciences, Earth and Planetary Sciences, Earth and Planetary Sciences, Earth and Planetary Sciences, Earth and Planetary Sciences","Earth and Planetary Sciences, Earth and Planetary Sciences, Earth and Planetary Sciences, Earth and Planetary Sciences, Earth and Planetary Sciences, Earth and Planetary Sciences, Earth and Planetary Sciences, Earth and Planetary Sciences","Geochemistry of eocene calc-alkaline volcanic rocks from the Kastamonu area, Northern Turkey",Subcommission on geochronology: Convention on the use of decay constants in geo- and cosmochronology,"Taylor S.R., Peccerillo A., Taylor S.R., Peccerillo A.","Steiger R.H., Steiger R.H., Jager E., Jager E.",0
224,10.1007/BF00384745,10.1016/0012-821X(75)90088-6,169,"Earth and Planetary Sciences, Earth and Planetary Sciences, Earth and Planetary Sciences, Earth and Planetary Sciences, Earth and Planetary Sciences, Earth and Planetary Sciences, Earth and Planetary Sciences, Earth and Planetary Sciences","Earth and Planetary Sciences, Earth and Planetary Sciences, Earth and Planetary Sciences, Earth and Planetary Sciences, Earth and Planetary Sciences, Earth and Planetary Sciences, Earth and Planetary Sciences, Earth and Planetary Sciences","Geochemistry of eocene calc-alkaline volcanic rocks from the Kastamonu area, Northern Turkey",Approximation of terrestrial lead isotope evolution by a two-stage model,"Taylor S.R., Peccerillo A., Taylor S.R., Peccerillo A.","Kramers J.D., Kramers J.D., Stacey J.S., Stacey J.S.",0
