No,doi-1,doi-2,cc_frequency,pub1_msa,pub2_msa,pub1_title,pub2_title,pub1_authors,pub2_authors,dc
14,10.1111/j.1540-6261.1973.tb01415.x,10.1111/j.1540-6261.1984.tb03646.x,205,"Business, Management and Accounting, Economics, Econometrics and Finance, Economics, Econometrics and Finance, Economics, Econometrics and Finance, Economics, Econometrics and Finance, Economics, Econometrics and Finance, Economics, Econometrics and Finance, Business, Management and Accounting, Business, Management and Accounting","Economics, Econometrics and Finance, Economics, Econometrics and Finance, Economics, Econometrics and Finance, Business, Management and Accounting, Economics, Econometrics and Finance, Economics, Econometrics and Finance, Business, Management and Accounting, Economics, Econometrics and Finance, Business, Management and Accounting",A STATE‐PREFERENCE MODEL OF OPTIMAL FINANCIAL LEVERAGE,The Capital Structure Puzzle,"Litzenberger R.H., Kraus A.","MYERS S.C., MYERS S.C.",0
15,10.1016/0550-3213(73)90622-6,10.1103/PhysRevD.10.1823,126,Physics and Astronomy,Physics and Astronomy,Interacting-string picture of dual-resonance models,Field theory of relativistic strings. II. Loops and Pomerons,"Mandelstam S., Mandelstam S.","Kikkawa K., Kaku M.",0
16,10.1016/0038-0717(87)90037-X,10.1016/0003-2697(87)90612-9,182,"Immunology and Microbiology, Agricultural and Biological Sciences, Agricultural and Biological Sciences, Immunology and Microbiology, Agricultural and Biological Sciences, Immunology and Microbiology, Agricultural and Biological Sciences, Immunology and Microbiology","Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology",Microbial cyanide production in the rhizosphere in relation to potato yield reduction and Pseudomonas SPP-mediated plant growth-stimulation,Universal chemical assay for the detection and determination of siderophores,"Schippers B., Bakker A.W., Schippers B., Bakker A.W.","Schwyn B., Schwyn B., Neilands J.B., Neilands J.B.",0
17,10.1080/01621459.1987.10478441,10.1093/biomet/70.1.41,221,"Mathematics, Mathematics, Mathematics, Mathematics, Mathematics, Decision Sciences, Decision Sciences, Decision Sciences, Decision Sciences, Decision Sciences, Decision Sciences, Mathematics","Agricultural and Biological Sciences, Mathematics, Mathematics, Decision Sciences, Agricultural and Biological Sciences, Mathematics, Mathematics, Mathematics, Decision Sciences, Agricultural and Biological Sciences, Agricultural and Biological Sciences, Mathematics",Model-based direct adjustment,The central role of the propensity score in observational studies for causal effects,"Rosenbaum P.R., Rosenbaum P.R.","Rosenbaum P.R., Rubin D.B.",1
18,10.1063/1.438357,10.1103/PhysRevB.37.785,216,"Physics and Astronomy, Chemistry","Physics and Astronomy, Physics and Astronomy","Electronic structure of homoleptic transition metal hydrides: TiH 4, VH4, CrH4, MnH4, FeH4, CoH4, and NiH4",Development of the Colle-Salvetti correlation-energy formula into a functional of the electron density,"Pitzer R.M., Hood D.M., Schaefer III H.F., Pitzer R.M., Hood D.M., Schaefer III H.F., Pitzer R.M., Hood D.M., Schaefer III H.F.","Parr R.G., Parr R.G., Parr R.G., Lee C., Lee C., Lee C., Yang W., Yang W., Yang W.",0
19,10.1063/1.438357,10.1103/PhysRevA.38.3098,219,"Physics and Astronomy, Chemistry","Physics and Astronomy, Physics and Astronomy","Electronic structure of homoleptic transition metal hydrides: TiH 4, VH4, CrH4, MnH4, FeH4, CoH4, and NiH4",Density-functional exchange-energy approximation with correct asymptotic behavior,"Pitzer R.M., Hood D.M., Schaefer III H.F.","Becke A.D., Becke A.D., Becke A.D.",0
20,10.1063/1.464913,10.1016/0022-2860(90)80287-T,217,"Physics and Astronomy, Chemistry, Physics and Astronomy, Chemistry, Chemistry, Chemistry, Physics and Astronomy, Physics and Astronomy","Chemistry, Chemistry, Chemistry, Chemistry, Chemistry, Chemistry, Chemistry, Chemistry",Density-functional thermochemistry. III. The role of exact exchange,Molvib - A flexible program for force field calculations,Becke A.D.,Sundius T.,0
21,10.1016/0009-2614(80)80041-8,10.1063/1.438208,314,"Chemistry, Physics and Astronomy, Chemistry, Physics and Astronomy","Chemistry, Chemistry, Physics and Astronomy, Physics and Astronomy",Natural abundance nitrogen-15 NMR by enhanced heteronuclear spectroscopy,Investigation of exchange processes by two-dimensional NMR spectroscopy,"Bodenhausen G., Ruben D.J., Bodenhausen G., Ruben D.J., Bodenhausen G., Ruben D.J., Bodenhausen G., Ruben D.J.","Ernst R.R., Ernst R.R., Meier B.H., Meier B.H., Bachmann P., Bachmann P., Jeener J., Jeener J.",0
22,10.1103/PhysRevLett.65.353,10.1103/PhysRevB.13.5188,319,Physics and Astronomy,Physics and Astronomy,Special quasirandom structures,Special points for Brillouin-zone integrations,"Bernard J.E., Ferreira L.G., Wei S.-H., Zunger A., Bernard J.E., Ferreira L.G., Wei S.-H., Zunger A.","Monkhorst H.J., Monkhorst H.J., Monkhorst H.J., Monkhorst H.J., Pack J.D., Pack J.D., Pack J.D., Pack J.D.",0
23,10.1103/PhysRevD.22.2860,10.1016/0370-2693(88)91584-5,173,"Physics and Astronomy, Physics and Astronomy","Physics and Astronomy, Physics and Astronomy","Neutrino masses, mixings, and oscillations in SU(2)×U(1) models of electroweak interactions","Model of """"calculable"""" Majorana neutrino masses","Li L.-F., Cheng T.P.","Babu K.S., Babu K.S.",1
24,10.1103/PhysRevD.22.2860,10.1016/0370-2693(80)90825-4,329,"Physics and Astronomy, Physics and Astronomy","Physics and Astronomy, Physics and Astronomy","Neutrino masses, mixings, and oscillations in SU(2)×U(1) models of electroweak interactions",Neutrino mass problem and gauge hierarchy,"Li L.-F., Cheng T.P., Li L.-F., Cheng T.P.","Magg M., Magg M., Wetterich Ch., Wetterich Ch.",0
25,10.1103/PhysRevD.22.2860,10.1103/PhysRevD.23.165,438,"Physics and Astronomy, Physics and Astronomy, Physics and Astronomy, Physics and Astronomy","Physics and Astronomy, Physics and Astronomy, Physics and Astronomy, Physics and Astronomy","Neutrino masses, mixings, and oscillations in SU(2)×U(1) models of electroweak interactions",Neutrino masses and mixings in gauge models with spontaneous parity violation,"Li L.-F., Cheng T.P., Li L.-F., Cheng T.P.","Mohapatra R.N., Mohapatra R.N., Senjanovic G., Senjanovic G.",0
26,10.1016/0378-4266(85)90025-1,10.1287/mnsc.30.9.1078,204,"Economics, Econometrics and Finance, Economics, Econometrics and Finance, Economics, Econometrics and Finance, Economics, Econometrics and Finance","Decision Sciences, Business, Management and Accounting, Decision Sciences, Business, Management and Accounting",Bank branch operating efficiency. Evaluation with Data Envelopment Analysis,SOME MODELS FOR ESTIMATING TECHNICAL AND SCALE INEFFICIENCIES IN DATA ENVELOPMENT ANALYSIS.,"Gold F., Sherman H.D., Gold F., Sherman H.D., Gold F., Sherman H.D.","Banker R.D., Banker R.D., Cooper W.W., Cooper W.W., Charnes A., Charnes A.",0
27,10.1037/0021-9010.71.3.500,10.1037/0022-3514.51.6.1173,397,"Psychology, Psychology","Psychology, Social Sciences",Perceived Organizational Support,"The Moderator-Mediator Variable Distinction in Social Psychological Research. Conceptual, Strategic, and Statistical Considerations","Hutchison S., Sowa D., Huntington R., Eisenberger R., Hutchison S., Sowa D., Huntington R., Eisenberger R.","Baron R.M., Baron R.M., Baron R.M., Baron R.M., Kenny D.A., Kenny D.A., Kenny D.A., Kenny D.A.",0
28,10.1103/PhysRevB.12.905,10.1103/PhysRevB.13.5188,182,"Materials Science, Physics and Astronomy","Physics and Astronomy, Physics and Astronomy",Transition temperature of strong-coupled superconductors reanalyzed,Special points for Brillouin-zone integrations,"Allen P.B., Dynes R.C., Allen P.B., Dynes R.C.","Pack J.D., Pack J.D., Monkhorst H.J., Monkhorst H.J.",0
29,10.1524/anly.1985.5.4.301,10.2140/pjm.1993.160.43,150,"Mathematics, Mathematics, Mathematics","Mathematics, Mathematics, Mathematics",On statistical convergence,Lacunary statistical convergence,"Fridy J.A., Fridy J.A.","Fridy J.A., Orhan C.",1
30,10.1016/0160-7383(82)90049-4,10.1016/0160-7383(77)90037-8,235,"Business, Management and Accounting, Social Sciences, Social Sciences, Business, Management and Accounting","Business, Management and Accounting, Social Sciences, Business, Management and Accounting, Social Sciences",Toward a social psychological theory of tourism motivation: A rejoinder,"Anomie, ego-enhancement and tourism",Iso-Ahola S.E.,Dann G.M.S.,0
31,10.1016/0160-7383(82)90049-4,10.1016/0160-7383(81)90082-7,207,"Business, Management and Accounting, Social Sciences, Business, Management and Accounting, Social Sciences","Business, Management and Accounting, Business, Management and Accounting, Social Sciences, Social Sciences",Toward a social psychological theory of tourism motivation: A rejoinder,Tourist motivation an appraisal,Iso-Ahola S.E.,Dann G.M.S.,1
32,10.1016/0160-7383(82)90049-4,10.1016/0160-7383(79)90004-5,350,"Social Sciences, Social Sciences, Business, Management and Accounting, Business, Management and Accounting","Business, Management and Accounting, Social Sciences, Social Sciences, Business, Management and Accounting",Toward a social psychological theory of tourism motivation: A rejoinder,"",Iso-Ahola S.E.,Crompton J.L.,0
33,10.1016/0037-0738(88)90137-6,10.1086/628815,102,"Earth and Planetary Sciences, Earth and Planetary Sciences","Earth and Planetary Sciences, Earth and Planetary Sciences",The CIW index: A new chemical index of weathering,Plate tectonics and geochemical composition of sandstones.,Harnois L.,Bhatia M.R.,0
34,10.1016/0037-0738(88)90137-6,"",179,"Earth and Planetary Sciences, Earth and Planetary Sciences, Earth and Planetary Sciences, Earth and Planetary Sciences","Earth and Planetary Sciences, Environmental Science, Earth and Planetary Sciences, Environmental Science",The CIW index: A new chemical index of weathering,The Continental Crust: its Composition and Evolution. An Examination of the Geochemical Record Preserved in Sedimentary Rocks.,"Harnois L., Harnois L.","Taylor S.R., McLennan S.M.",0
35,10.1016/0037-0738(88)90137-6,10.1007/BF00375292,135,"Earth and Planetary Sciences, Earth and Planetary Sciences, Earth and Planetary Sciences, Earth and Planetary Sciences, Earth and Planetary Sciences, Earth and Planetary Sciences, Earth and Planetary Sciences, Earth and Planetary Sciences","Earth and Planetary Sciences, Earth and Planetary Sciences, Earth and Planetary Sciences, Environmental Science, Earth and Planetary Sciences, Environmental Science, Earth and Planetary Sciences, Earth and Planetary Sciences",The CIW index: A new chemical index of weathering,Trace element characteristics of graywackes and tectonic setting discrimination of sedimentary basins,"Harnois L., Harnois L.","Crook K.A.W., Bhatia M.R.",0
36,10.1016/0037-0738(88)90137-6,10.1086/629071,113,"Earth and Planetary Sciences, Earth and Planetary Sciences","Earth and Planetary Sciences, Earth and Planetary Sciences",The CIW index: A new chemical index of weathering,Determination of tectonic setting of sandstone- mudstone suites using SiO2 content and K2O/Na2O ratio.,"Harnois L., Harnois L.","Roser B.P., Korsch R.J.",0
37,10.1016/0037-0738(88)90137-6,10.1016/0009-2541(93)90140-E,109,"Earth and Planetary Sciences, Earth and Planetary Sciences, Earth and Planetary Sciences, Earth and Planetary Sciences","Earth and Planetary Sciences, Earth and Planetary Sciences, Earth and Planetary Sciences, Earth and Planetary Sciences",The CIW index: A new chemical index of weathering,Chemical composition and evolution of the upper continental crust: Contrasting results from surface samples and shales,Harnois L.,Condie K.C.,1
38,10.1016/0037-0738(88)90137-6,10.1016/0016-7037(84)90408-3,162,"Earth and Planetary Sciences, Earth and Planetary Sciences","Earth and Planetary Sciences, Earth and Planetary Sciences",The CIW index: A new chemical index of weathering,Prediction of some weathering trends of plutonic and volcanic rocks based on thermodynamic and kinetic considerations,"Harnois L., Harnois L.","Young G.M., Nesbitt H.W.",0
39,10.1016/0160-7383(77)90037-8,10.1016/0160-7383(81)90082-7,249,"Business, Management and Accounting, Business, Management and Accounting, Social Sciences, Social Sciences","Business, Management and Accounting, Social Sciences, Business, Management and Accounting, Social Sciences","Anomie, ego-enhancement and tourism",Tourist motivation an appraisal,Dann G.M.S.,Dann G.M.S.,1
40,10.1103/PhysRevD.9.1444,10.1103/PhysRevD.1.1376,191,"Physics and Astronomy, Physics and Astronomy","Physics and Astronomy, Physics and Astronomy",Sum rule for deep-inelastic electroproduction from polarized protons,Inelastic scattering of polarized leptons from polarized nucleons,"Jaffe R., Ellis J.","Bjorken J.D., Bjorken J.D.",1
41,10.1007/BF02414780,"",105,"Earth and Planetary Sciences, Environmental Science","Medicine, Medicine",Problems in the assessment of heavy-metal levels in estuaries and the formation of a pollution index,Heavy metals in the sediments of the Rhine river. Changes since 1971,"Wilson J.G., Jeffrey D.W., Harris C.R., Tomlinson D.L.","Mueller G., Mueller G., Mueller G., Mueller G.",0
42,10.1007/BF02414780,10.1016/0043-1354(80)90143-8,357,"Earth and Planetary Sciences, Environmental Science, Earth and Planetary Sciences, Earth and Planetary Sciences, Earth and Planetary Sciences, Environmental Science, Environmental Science, Environmental Science","Environmental Science, Environmental Science, Environmental Science, Environmental Science, Environmental Science, Environmental Science, Environmental Science, Environmental Science",Problems in the assessment of heavy-metal levels in estuaries and the formation of a pollution index,An ecological risk index for aquatic pollution control.a sedimentological approach,"Wilson J.G., Jeffrey D.W., Harris C.R., Tomlinson D.L.","Hakanson L., Hakanson L., Hakanson L., Hakanson L.",0
43,10.1103/PhysRevLett.72.3439,10.1103/PhysRevD.23.1693,192,Physics and Astronomy,Physics and Astronomy,Statistical distance and the geometry of quantum states,Quantum-mechanical noise in an interferometer,"Braunstein S.L., Caves C.M.","Caves C.M., Caves C.M.",0
44,10.1021/ja00443a030,10.1063/1.555808,128,"Chemical Engineering, Chemistry, Chemistry, Chemical Engineering, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Chemical Engineering, Chemical Engineering, Chemical Engineering, Chemical Engineering, Chemistry","Chemistry, Chemistry, Chemistry, Physics and Astronomy, Chemistry, Chemistry, Physics and Astronomy, Chemistry, Chemistry, Chemistry, Physics and Astronomy, Physics and Astronomy",Rate Constants and Mechanism of Reaction of SO4 with Aromatic Compounds,Rate Constants for Reactions of Inorganic Radicals in Aqueous Solution,"Madhavan V., Zemel H., Fessenden R.W., Neta P., Madhavan V., Zemel H., Fessenden R.W., Neta P., Madhavan V., Zemel H., Fessenden R.W., Neta P.","Ross A.B., Ross A.B., Ross A.B., Ross A.B., Huie R.E., Huie R.E., Huie R.E., Huie R.E., Neta P., Neta P., Neta P., Neta P.",0
45,10.1016/0375-9601(79)90150-6,10.1016/0375-9601(76)90101-8,163,Physics and Astronomy,Physics and Astronomy,An equation for hyperchaos,An equation for continuous chaos,Rossler O.E.,Rossler O.E.,1
