pmid, wos_id
29296186,
29245979,
28638342,
28435225,
28018217,
27825144,
27110117,
26882121,
26731477,
26607259,
26423926,
26265135,
25802476,
25684066,
25528187,
25521733,
25419701,
25029633,
24619595,
23760813,
23095502,
22871999,
22868796,
22584460,
21892003,
21691256,
20217574,
19479659,
