pmid, wos_id
29135105,
28044414,
26871771,
26639454,
26230381,
26125596,
25929855,
25527155,
25186065,
25141893,
24809462,
24445243,
24062210,
23922954,
23781139,
23356658,
23228987,
22899355,
22775532,
22497725,
22301406,
22294487,
22044417,
21984116,
21970596,
21826689,
21823108,
21373875,
21319261,
20799519,
20515869,
20473659,
20309015,
20104224,
21532842,
19942639,
19652678,
19523031,
19506735,
19189210,
19169185,
19153830,
19059065,
18719197,
18591960,
24410511,
17620607,
17357148,
17324244,
17038884,
16797246,
16771600,
16706732,
16679388,
16550211,
16384813,
16271013,
16103869,
15669884,
